Player,Season,MPPG,Outcome
Kyrylo Fesenko,2008-09,7.429,Not Successful
Landry Fields,2014-15,8.308,Not Successful
Adonal Foyle,2008-09,6.2,Not Successful
Jimmer Fredette,2011-12,18.607,Not Successful
Markelle Fultz,2018-19,22.474,Not Successful
Devean George,2004-05,20.4,Not Successful
Eddie Gill,2003-04,7.136,Not Successful
Ben Gordon,2014-15,14.107,Not Successful
Joey Graham,2007-08,8.711,Not Successful
Tom Gugliotta,2003-04,14.891,Not Successful
Jorge Gutierrez,2014-15,8.75,Not Successful
Jorge Gutierrez,2015-16,5.25,Not Successful
PJ Hairston,2014-15,15.267,Not Successful
Darvin Ham,2004-05,5.851,Not Successful
Jordan Hamilton,2011-12,9.923,Not Successful
Ben Handlogten,2004-05,14.143,Not Successful
Maurice Harkless,2014-15,14.978,Not Successful
Manny Harris,2011-12,17.538,Not Successful
Lazar Hayward,2010-11,9.976,Not Successful
Xavier Henry,2013-14,21.116,Not Successful
Nene Hilario,2007-08,16.625,Not Successful
RJ Hunter,2015-16,8.75,Not Successful
Didier Ilunga-Mbenga,2008-09,7.87,Not Successful
Royal Ivey,2006-07,10.17,Not Successful
Stephen Jackson,2012-13,19.545,Not Successful
Mike James,2007-08,13.333,Not Successful
Mike James,2011-12,10.909,Not Successful
Nathan Jawai,2009-10,10.564,Not Successful
DaQuan Jeffries,2019-20,10.846,Not Successful
Alize Johnson,2019-20,6.941,Not Successful
Bobby Jones,2006-07,7.636,Not Successful
Jalen Jones,2018-19,13.375,Not Successful
Solomon Jones,2011-12,13.905,Not Successful
Tyus Jones,2015-16,15.486,Not Successful
Sergey Karasev,2015-16,9.975,Not Successful
Mario Kasun,2005-06,7.607,Not Successful
Viktor Khryapa,2004-05,16.344,Not Successful
Brandon Knight,2016-17,21.111,Not Successful
Ognjen Kuzmic,2014-15,4.5,Not Successful
Skal Labissiere,2018-19,8,Not Successful
Stephane Lasme,2007-08,18.938,Not Successful
Zach LaVine,2017-18,27.333,Successful
Jake Layman,2019-20,21.957,Not Successful
TJ Leaf,2019-20,7.929,Not Successful
Rashard Lewis,2011-12,26.036,Successful
Brook Lopez,2011-12,27.2,Successful
John Lucas,2014-15,12.952,Not Successful
Jamaal Magloire,2004-05,30.565,Successful
Sean Marks,2007-08,6.842,Not Successful
Donyell Marshall,2007-08,13.077,Not Successful
Frank Mason,2018-19,11.447,Not Successful
Roger Mason,2013-14,10.4,Not Successful
Jason Maxiell,2013-14,14.353,Not Successful
Sean May,2009-10,8.946,Not Successful
Ray McCallum,2015-16,11.585,Not Successful
Chris McCullough,2015-16,15.083,Not Successful
Tracy McGrady,2009-10,22.433,Not Successful
Dominic McGuire,2012-13,14.885,Not Successful
Jeff McInnis,2005-06,17.357,Not Successful
Ben McLemore,2015-16,21.221,Not Successful
Keith McLeod,2004-05,26.075,Successful
Josh McRoberts,2016-17,17.318,Not Successful
Jodie Meeks,2018-19,13,Not Successful
Pops Mensah-Bonsu,2008-09,12.864,Not Successful
Chimezie Metu,2019-20,5.833,Not Successful
Jordan Mickey,2017-18,12.348,Not Successful
CJ Miles,2005-06,8.826,Not Successful
Malcolm Miller,2019-20,5.786,Not Successful
Mike Miller,2015-16,7.936,Not Successful
Shake Milton,2018-19,13.4,Not Successful
Yao Ming,2010-11,18.2,Not Successful
Malik Monk,2018-19,17.233,Not Successful
Juwan Morgan,2019-20,6.381,Not Successful
Randolph Morris,2009-10,4.429,Not Successful
Donatas Motiejunas,2015-16,14.784,Not Successful
Johnathan Motley,2017-18,16,Not Successful
Johnathan Motley,2018-19,7.091,Not Successful
Johnathan Motley,2019-20,3.154,Not Successful
Shabazz Muhammad,2013-14,7.838,Not Successful
Troy Murphy,2010-11,13.314,Not Successful
Troy Murphy,2012-13,18.286,Not Successful
Moochie Norris,2005-06,9.422,Not Successful
Steve Novak,2009-10,6.704,Not Successful
Steve Novak,2014-15,5.629,Not Successful
Dirk Nowitzki,2018-19,15.588,Not Successful
Johnny O'Bryant,2015-16,12.985,Not Successful
Johnny O'Bryant,2017-18,10.528,Not Successful
Patrick O'Bryant,2008-09,6.538,Not Successful
Lamar Odom,2011-12,20.54,Not Successful
Kevin Ollie,2009-10,10.52,Not Successful
Michael Olowokandi,2005-06,19.146,Not Successful
Arinze Onuaku,2014-15,11.333,Not Successful
Daniel Orton,2012-13,8,Not Successful
Daniel Orton,2013-14,11.409,Not Successful
Travis Outlaw,2012-13,11.684,Not Successful
Zaza Pachulia,2003-04,11.254,Not Successful
Sasha Pavlovic,2010-11,11.677,Not Successful
Norvel Pelle,2019-20,9.667,Not Successful
Alec Peters,2017-18,11.25,Not Successful
Scottie Pippen,2003-04,17.913,Not Successful
Vincent Poirier,2019-20,5.909,Not Successful
Kevin Porter,2019-20,23.24,Not Successful
Josh Powell,2006-07,9.541,Not Successful
Alex Poythress,2016-17,26.167,Successful
AJ Price,2010-11,15.9,Not Successful
AJ Price,2014-15,12.462,Not Successful
Laron Profit,2005-06,11.16,Not Successful
Joel Przybilla,2006-07,16.302,Not Successful
Joel Przybilla,2011-12,16.63,Not Successful
Justin Reed,2004-05,5.261,Not Successful
Chris Richard,2009-10,12.444,Not Successful
Quentin Richardson,2007-08,28.323,Successful
Bernard Robinson,2004-05,10.581,Not Successful
Clifford Robinson,2006-07,19.1,Not Successful
Devin Robinson,2018-19,13.571,Not Successful
Nate Robinson,2014-15,14.071,Not Successful
Rodney Rogers,2004-05,23.569,Not Successful
Terrence Ross,2017-18,25,Successful
Robert Sacre,2015-16,12.8,Not Successful
Brian Scalabrine,2005-06,13.211,Not Successful
Brian Scalabrine,2011-12,4.357,Not Successful
Luke Schenscher,2005-06,7.45,Not Successful
Wayne Selden,2017-18,19.771,Not Successful
Ramon Sessions,2017-18,14,Not Successful
Bobby Simmons,2011-12,14.929,Not Successful
Cedric Simmons,2006-07,12.419,Not Successful
Jonathon Simmons,2018-19,19,Not Successful
Kyle Singler,2016-17,12.031,Not Successful
Donald Sloan,2013-14,8.167,Not Successful
Charles Smith,2005-06,9.545,Not Successful
Donta Smith,2005-06,5.522,Not Successful
Ish Smith,2011-12,9,Not Successful
Jerry Stackhouse,2011-12,9.1,Not Successful
Nik Stauskas,2017-18,12.756,Not Successful
Julyan Stone,2017-18,7.609,Not Successful
Salim Stoudamire,2007-08,11.486,Not Successful
Jeffery Taylor,2014-15,14.828,Not Successful
Mirza Teletovic,2017-18,15.9,Not Successful
Sebastian Telfair,2009-10,15.326,Not Successful
Garrett Temple,2013-14,8.507,Not Successful
Hasheem Thabeet,2010-11,7.936,Not Successful
Hasheem Thabeet,2011-12,6.95,Not Successful
Axel Toupane,2015-16,14.524,Not Successful
Jake Tsakalidis,2006-07,10.833,Not Successful
Ekpe Udoh,2014-15,3.879,Not Successful
Kemba Walker,2011-12,27.152,Successful
Lonnie Walker,2019-20,16.197,Not Successful
John Wallace,2003-04,9.946,Not Successful
Luke Walton,2009-10,9.379,Not Successful
Kyle Weaver,2009-10,12,Not Successful
Briante Weber,2016-17,10.25,Not Successful
David Wesley,2006-07,10.057,Not Successful
Mario West,2009-10,3.641,Not Successful
James White,2006-07,22.833,Not Successful
CJ Wilcox,2015-16,7.261,Not Successful
Aaron Williams,2004-05,7.5,Not Successful
Elliot Williams,2011-12,6.208,Not Successful
Elliot Williams,2013-14,17.269,Not Successful
Frank Williams,2003-04,12.75,Not Successful
Reggie Williams,2011-12,22.636,Not Successful
Reggie Williams,2012-13,9.5,Not Successful
Sean Williams,2008-09,11.091,Not Successful
Terrence Williams,2011-12,18.333,Not Successful
Terrence Williams,2012-13,13.25,Not Successful
DJ Wilson,2019-20,9.811,Not Successful
Christian Wood,2015-16,8.529,Not Successful
Christian Wood,2016-17,8.231,Not Successful
Metta World Peace,2013-14,13.379,Not Successful
Antoine Wright,2009-10,20.776,Not Successful
Bracey Wright,2006-07,10,Not Successful
Chris Wright,2013-14,15.75,Not Successful
Tony Wroten,2014-15,29.833,Successful
James Young,2014-15,10.71,Not Successful
James Young,2016-17,7.586,Not Successful
Tyler Zeller,2018-19,15.5,Not Successful
Jeff Adrien,2010-11,8.522,Not Successful
Solomon Alabi,2011-12,8.714,Not Successful
Cole Aldrich,2010-11,7.889,Not Successful
Malik Allen,2010-11,9.889,Not Successful
Chris Andersen,2016-17,9.5,Not Successful
Kenny Anderson,2004-05,17.279,Not Successful
Thanasis Antetokounmpo,2019-20,6.45,Not Successful
Joel Anthony,2013-14,5.636,Not Successful
Robert Archibald,2003-04,8,Not Successful
Gilbert Arenas,2008-09,31.5,Successful
Chucky Atkins,2009-10,16.1,Not Successful
Jeff Ayres,2015-16,6.294,Not Successful
Andrea Bargnani,2015-16,13.783,Not Successful
Eddie Basden,2005-06,7.421,Not Successful
Esteban Batista,2006-07,6.231,Not Successful
Kent Bazemore,2013-14,13.597,Not Successful
Malik Beasley,2016-17,7.5,Not Successful
Michael Beasley,2018-19,10.654,Not Successful
Rodrigue Beaubois,2010-11,17.714,Not Successful
DeAndre' Bembry,2019-20,21.279,Not Successful
Jonathan Bender,2005-06,10.5,Not Successful
Jabari Bird,2017-18,8.846,Not Successful
Eric Bledsoe,2011-12,11.6,Not Successful
Joel Bolomboy,2016-17,4.417,Not Successful
Ryan Bowen,2005-06,9.588,Not Successful
Michael Bradley,2004-05,6.611,Not Successful
Torraye Braggs,2003-04,10.267,Not Successful
Elton Brand,2015-16,13.235,Not Successful
Primoz Brezec,2007-08,9.5,Not Successful
Dee Brown,2006-07,9.184,Not Successful
Lorenzo Brown,2017-18,9.929,Not Successful
Kobe Bryant,2014-15,34.486,Successful
Reggie Bullock,2013-14,9.186,Not Successful
Dwight Buycks,2017-18,14.724,Not Successful
Isaiah Canaan,2013-14,11.455,Not Successful
Anthony Carter,2010-11,14.03,Not Successful
Michael Carter-Williams,2016-17,18.8,Not Successful
Ian Clark,2014-15,6.4,Not Successful
Victor Claver,2013-14,8.762,Not Successful
Jarron Collins,2008-09,7.731,Not Successful
Jason Collins,2011-12,10.267,Not Successful
Bonzie Colson,2018-19,12.25,Not Successful
Quinn Cook,2016-17,13.429,Not Successful
Tyler Cook,2019-20,4.154,Not Successful
Jack Cooley,2014-15,5.438,Not Successful
Bryce Cotton,2014-15,10.6,Not Successful
Jamal Crawford,2018-19,18.922,Not Successful
Jordan Crawford,2017-18,10.6,Not Successful
Mitch Creek,2018-19,9.6,Not Successful
Troy Daniels,2013-14,15,Not Successful
Troy Daniels,2014-15,8.447,Not Successful
Brandon Davies,2014-15,15.667,Not Successful
Baron Davis,2011-12,20.517,Not Successful
Paul Davis,2006-07,5.806,Not Successful
Paul Davis,2008-09,11.852,Not Successful
Bryce Dejean-Jones,2015-16,19.929,Not Successful
Matthew Dellavedova,2019-20,14.404,Not Successful
Marcus Derrickson,2018-19,6.091,Not Successful
Keyon Dooling,2012-13,11.714,Not Successful
Toney Douglas,2014-15,14.75,Not Successful
Chris Duhon,2010-11,15.176,Not Successful
John Edwards,2005-06,7.4,Not Successful
Monta Ellis,2008-09,35.68,Successful
Kim English,2012-13,9.927,Not Successful
Reggie Evans,2009-10,11.107,Not Successful
Tacko Fall,2019-20,4.714,Not Successful
Raymond Felton,2014-15,9.69,Not Successful
TJ Ford,2010-11,18.854,Not Successful
TJ Ford,2011-12,13.643,Not Successful
Danny Fortson,2005-06,12,Not Successful
Randy Foye,2016-17,18.609,Not Successful
Steve Francis,2007-08,19.9,Not Successful
Melvin Frazier,2019-20,6.632,Not Successful
Jimmer Fredette,2014-15,10.18,Not Successful
Joel Freeland,2012-13,9.353,Not Successful
Markelle Fultz,2017-18,18.071,Not Successful
Wenyen Gabriel,2019-20,7.833,Not Successful
Pat Garrity,2006-07,8.394,Not Successful
Mickael Gelabale,2007-08,11.923,Not Successful
Marcus Georges-Hunt,2017-18,5.333,Not Successful
Jonathan Gibson,2017-18,10,Not Successful
Eddie Gill,2007-08,11,Not Successful
Mickell Gladness,2011-12,9.692,Not Successful
Dion Glover,2004-05,9.714,Not Successful
Archie Goodwin,2013-14,10.25,Not Successful
Archie Goodwin,2014-15,13.049,Not Successful
Treveon Graham,2019-20,16.891,Not Successful
Brian Grant,2005-06,11.81,Not Successful
Danny Green,2009-10,5.75,Not Successful
Jeff Green,2007-08,28.163,Successful
Anthony Grundy,2005-06,9,Not Successful
Jorge Gutierrez,2013-14,16.267,Not Successful
Jordan Hamilton,2015-16,27.636,Successful
Ben Hansbrough,2012-13,7.143,Not Successful
Travis Hansen,2003-04,12.366,Not Successful
Luke Harangody,2011-12,11,Not Successful
Anfernee Hardaway,2004-05,24.162,Successful
Anfernee Hardaway,2007-08,20.313,Not Successful
Joe Harris,2014-15,9.667,Not Successful
Donnell Harvey,2004-05,5.333,Not Successful
Udonis Haslem,2016-17,8.125,Not Successful
Trenton Hassell,2007-08,12.27,Not Successful
Brendan Haywood,2008-09,29.167,Successful
Alan Henderson,2003-04,11.333,Not Successful
Xavier Henry,2010-11,13.868,Not Successful
Xavier Henry,2011-12,16.867,Not Successful
Jaylen Hoard,2019-20,7.923,Not Successful
Julius Hodge,2006-07,7.222,Not Successful
Ryan Hollins,2006-07,6.852,Not Successful
Ryan Hollins,2011-12,13.385,Not Successful
Lester Hudson,2014-15,11.2,Not Successful
Josh Huestis,2016-17,15.5,Not Successful
Kris Humphries,2005-06,9.984,Not Successful
Brandon Hunter,2004-05,7.226,Not Successful
Lindsey Hunter,2007-08,8.958,Not Successful
Othello Hunter,2008-09,5.75,Not Successful
Andre Ingram,2017-18,32,Successful
Jonathan Isaac,2017-18,19.852,Not Successful
Royal Ivey,2004-05,13.048,Not Successful
Royal Ivey,2010-11,6.2,Not Successful
Royal Ivey,2011-12,10.412,Not Successful
Demetrius Jackson,2018-19,6.5,Not Successful
Frank Jackson,2019-20,13.508,Not Successful
Jermaine Jackson,2004-05,10.952,Not Successful
Jermaine Jackson,2005-06,6.733,Not Successful
Mike James,2017-18,19.083,Not Successful
Dontell Jefferson,2008-09,14,Not Successful
John Jenkins,2015-16,11.163,Not Successful
John Jenkins,2018-19,12.808,Not Successful
Alexander Johnson,2007-08,12.767,Not Successful
Amir Johnson,2005-06,13,Not Successful
Avery Johnson,2003-04,13.848,Not Successful
Brice Johnson,2017-18,5.444,Not Successful
Chris Johnson,2010-11,9.857,Not Successful
Chris Johnson,2011-12,6.481,Not Successful
Chris Johnson,2012-13,12.75,Not Successful
Chris Johnson,2012-13,12.75,Not Successful
JaJuan Johnson,2011-12,8.278,Not Successful
Dominique Jones,2011-12,8.121,Not Successful
James Jones,2012-13,5.816,Not Successful
Jemerrio Jones,2018-19,23.833,Not Successful
Kevin Jones,2012-13,10.438,Not Successful
Perry Jones,2014-15,14.674,Not Successful
Mfiondu Kabengele,2019-20,5.333,Not Successful
Coby Karl,2007-08,4.176,Not Successful
Sasha Kaun,2015-16,3.8,Not Successful
Kerry Kittles,2004-05,22.091,Not Successful
Kevin Knox,2019-20,17.938,Not Successful
Kosta Koufos,2010-11,8.68,Not Successful
Raef LaFrentz,2006-07,13.037,Not Successful
Jeremy Lamb,2012-13,6.391,Not Successful
Sean Lampley,2003-04,6.3,Not Successful
Romeo Langford,2019-20,11.563,Not Successful
Nicolas Laprovittola,2016-17,9.667,Not Successful
Alex Len,2013-14,8.619,Not Successful
Jon Leuer,2012-13,6.679,Not Successful
Jordan Loyd,2018-19,4.583,Not Successful
Timothe Luwawu-Cabarrot,2018-19,13.38,Not Successful
Tyler Lydon,2018-19,3.76,Not Successful
Ian Mahinmi,2007-08,3.833,Not Successful
Sean Marks,2004-05,10.609,Not Successful
Sean Marks,2009-10,5.357,Not Successful
Rawle Marshall,2005-06,10.478,Not Successful
Kelan Martin,2019-20,15.968,Not Successful
Kenyon Martin,2014-15,9.455,Not Successful
Roger Mason,2010-11,12.269,Not Successful
Eric Maynor,2012-13,15.047,Not Successful
CJ McCollum,2013-14,12.526,Not Successful
Chris McCullough,2017-18,4.737,Not Successful
KJ McDaniels,2015-16,6.351,Not Successful
Alfonzo McKinnie,2019-20,14.825,Not Successful
Ben McLemore,2018-19,8.316,Not Successful
Keith McLeod,2003-04,11.848,Not Successful
Jordan McRae,2016-17,10.378,Not Successful
Stanislav Medvedenko,2006-07,5.786,Not Successful
Darko Milicic,2007-08,23.757,Not Successful
Darko Milicic,2010-11,24.435,Successful
Brad Miller,2011-12,9.733,Not Successful
Malcolm Miller,2017-18,8.4,Not Successful
Malcolm Miller,2018-19,6.7,Not Successful
Tony Mitchell,2013-14,3.762,Not Successful
Tony Mitchell,2013-14,3.762,Not Successful
Jerome Moiso,2004-05,6,Not Successful
Adam Mokoka,2019-20,10.182,Not Successful
E'Twaun Moore,2011-12,8.711,Not Successful
E'Twaun Moore,2012-13,22.427,Not Successful
Darius Morris,2012-13,14.229,Not Successful
Monte Morris,2017-18,8.333,Not Successful
Donatas Motiejunas,2016-17,14.088,Not Successful
Emmanuel Mudiay,2016-17,25.564,Successful
Byron Mullens,2011-12,22.538,Not Successful
Dzanan Musa,2019-20,12.175,Not Successful
Mike Muscala,2013-14,10.75,Not Successful
Dikembe Mutombo,2008-09,10.667,Not Successful
Mamadou N'Diaye,2004-05,6.545,Not Successful
Boniface N'Dong,2005-06,6.609,Not Successful
Eduardo Najera,2010-11,12,Not Successful
Eduardo Najera,2011-12,12.273,Not Successful
Jaylen Nowell,2019-20,10.067,Not Successful
Patrick O'Bryant,2007-08,4.125,Not Successful
Mehmet Okur,2010-11,12.923,Not Successful
Bo Outlaw,2004-05,5.487,Not Successful
Larry Owens,2010-11,11.917,Not Successful
Milt Palacio,2005-06,19.38,Not Successful
Jannero Pargo,2004-05,14.156,Not Successful
Jannero Pargo,2014-15,8.111,Not Successful
Chandler Parsons,2016-17,19.853,Not Successful
Lamar Patterson,2015-16,11.286,Not Successful
Sasha Pavlovic,2007-08,23.294,Not Successful
Adreian Payne,2016-17,7.5,Not Successful
Adreian Payne,2017-18,8.6,Not Successful
Gary Payton,2017-18,9.609,Not Successful
Johan Petro,2008-09,11.408,Not Successful
Juan Toscano-Anderson,2019-20,20.923,Not Successful
Kevinn Pinkney,2006-07,16.667,Not Successful
Marshall Plumlee,2016-17,8.095,Not Successful
Marshall Plumlee,2017-18,6.5,Not Successful
Scot Pollard,2006-07,4.542,Not Successful
Anthony Roberson,2005-06,5.5,Not Successful
Anthony Roberson,2008-09,9.517,Not Successful
Brian Roberts,2016-17,10.146,Not Successful
Duncan Robinson,2018-19,10.733,Not Successful
Jerome Robinson,2019-20,15.54,Not Successful
Sean Rooks,2003-04,10.818,Not Successful
Michael Ruffin,2003-04,17.878,Not Successful
Jamal Sampson,2005-06,3.25,Not Successful
Jamal Sampson,2006-07,5.682,Not Successful
Melvin Sanders,2005-06,7.063,Not Successful
Brian Scalabrine,2009-10,9.077,Not Successful
Mouhamed Sene,2007-08,4.769,Not Successful
Mouhamed Sene,2008-09,4.833,Not Successful
Kevin Seraphin,2010-11,10.948,Not Successful
Ansu Sesay,2004-05,8,Not Successful
Alexey Shved,2013-14,10.54,Not Successful
Anfernee Simons,2019-20,20.7,Not Successful
Chris Singleton,2013-14,10,Not Successful
Alen Smailagic,2019-20,9.929,Not Successful
Donta Smith,2004-05,11.395,Not Successful
Greg Smith,2011-12,8.625,Not Successful
Greg Smith,2013-14,9.091,Not Successful
Greg Smith,2015-16,10.667,Not Successful
JR Smith,2004-05,24.461,Successful
Jason Smith,2018-19,9.5,Not Successful
Pape Sow,2004-05,9.444,Not Successful
Ray Spalding,2018-19,10.571,Not Successful
Jerry Stackhouse,2003-04,29.769,Successful
Michael Stewart,2003-04,5.88,Not Successful
Michael Stewart,2004-05,12.083,Not Successful
Julyan Stone,2013-14,5.714,Not Successful
Awvee Storey,2007-08,9.962,Not Successful
DaJuan Summers,2011-12,13.933,Not Successful
Edy Tavares,2015-16,6.636,Not Successful
Donell Taylor,2005-06,9.118,Not Successful
Jason Terry,2013-14,16.286,Not Successful
Billy Thomas,2005-06,7.706,Not Successful
Etan Thomas,2009-10,13.957,Not Successful
Etan Thomas,2010-11,6.308,Not Successful
Isaiah Thomas,2017-18,26.938,Successful
James Thomas,2004-05,10.636,Not Successful
James Thomas,2005-06,6.818,Not Successful
Malcolm Thomas,2012-13,4.75,Not Successful
Alando Tucker,2008-09,9.4,Not Successful
Rayjon Tucker,2019-20,8.05,Not Successful
Roko Ukic,2009-10,7.462,Not Successful
Jarrod Uthoff,2016-17,12.778,Not Successful
Ben Uzoh,2011-12,20.556,Not Successful
Fred VanVleet,2016-17,7.946,Not Successful
Anderson Varejao,2016-17,6.571,Not Successful
Rashad Vaughn,2017-18,7.571,Not Successful
Charlie Villanueva,2015-16,10.726,Not Successful
Jake Voskuhl,2007-08,8.773,Not Successful
Sasha Vujacic,2004-05,11.514,Not Successful
Dean Wade,2019-20,5.917,Not Successful
Moritz Wagner,2018-19,10.372,Not Successful
Casper Ware,2013-14,12.889,Not Successful
Willie Warren,2010-11,7.053,Not Successful
Paul Watson,2019-20,8.7,Not Successful
Travis Wear,2017-18,13.412,Not Successful
David West,2004-05,18.4,Not Successful
Mario West,2010-11,19.333,Not Successful
DJ White,2012-13,7.167,Not Successful
Okaro White,2017-18,13.333,Not Successful
Hassan Whiteside,2011-12,6.056,Not Successful
Chris Whitney,2003-04,11.625,Not Successful
Boris Diaw,2004-05,18.197,Not Successful
Chris Wilcox,2009-10,12.971,Not Successful
Mike Wilks,2007-08,12.533,Not Successful
Alan Williams,2015-16,6.8,Not Successful
Alan Williams,2018-19,5.2,Not Successful
Jason Williams,2010-11,10.926,Not Successful
Justin Williams,2007-08,5.348,Not Successful
Marcus Williams,2007-08,16.113,Not Successful
Marcus Williams,2007-08,16.113,Not Successful
Mo Williams,2003-04,13.544,Not Successful
Reggie Williams,2014-15,5.25,Not Successful
Reggie Williams,2016-17,13.167,Not Successful
Corliss Williamson,2005-06,9.784,Not Successful
Bracey Wright,2005-06,19.286,Not Successful
Dorell Wright,2005-06,6.6,Not Successful
Sam Young,2011-12,10.714,Not Successful
Wang Zhizhi,2004-05,4.6,Not Successful
Jaylen Adams,2018-19,12.588,Not Successful
Jeff Adrien,2011-12,7.875,Not Successful
Arron Afflalo,2017-18,12.868,Not Successful
Blake Ahearn,2008-09,6.333,Not Successful
Kadeem Allen,2019-20,11.7,Not Successful
Malik Allen,2009-10,8.941,Not Successful
Tony Allen,2017-18,12.409,Not Successful
Morris Almond,2008-09,10.2,Not Successful
Al-Farouq Aminu,2019-20,21.111,Not Successful
Lou Amundson,2006-07,8.091,Not Successful
Lou Amundson,2007-08,4,Not Successful
Lou Amundson,2012-13,9.538,Not Successful
Lou Amundson,2013-14,9.737,Not Successful
Alan Anderson,2006-07,15.059,Not Successful
Alan Anderson,2016-17,10.267,Not Successful
Ike Anigbogu,2017-18,2.727,Not Successful
Kostas Antetokounmpo,2019-20,4,Not Successful
Rafael Araujo,2006-07,8.857,Not Successful
Vin Baker,2005-06,10.625,Not Successful
Renaldo Balkman,2010-11,7.75,Not Successful
JJ Barea,2006-07,5.788,Not Successful
Andrea Bargnani,2012-13,28.657,Successful
Dana Barros,2003-04,11,Not Successful
Brandon Bass,2005-06,9.241,Not Successful
Mengke Bateer,2003-04,5.714,Not Successful
Esteban Batista,2005-06,8.684,Not Successful
Aron Baynes,2012-13,8.813,Not Successful
Kent Bazemore,2012-13,4.377,Not Successful
Dragan Bender,2017-18,25.232,Successful
Anthony Bennett,2015-16,4.421,Not Successful
DeJuan Blair,2014-15,6.207,Not Successful
Andray Blatche,2005-06,6.034,Not Successful
Keith Bogans,2004-05,24.203,Successful
Keith Bogans,2013-14,9.167,Not Successful
Bol Bol,2019-20,12.429,Not Successful
Joel Bolomboy,2017-18,6.333,Not Successful
Calvin Booth,2008-09,7,Not Successful
Curtis Borchardt,2003-04,16.125,Not Successful
Ryan Bowen,2009-10,8,Not Successful
Earl Boykins,2011-12,13.875,Not Successful
Michael Bradley,2005-06,7.978,Not Successful
Tony Bradley,2018-19,12,Not Successful
Primoz Brezec,2003-04,4,Not Successful
Oshae Brissett,2019-20,7.105,Not Successful
Jon Brockman,2011-12,6.829,Not Successful
Aaron Brooks,2017-18,5.906,Not Successful
MarShon Brooks,2018-19,13.345,Not Successful
Bobby Brown,2016-17,4.92,Not Successful
Devin Brown,2008-09,13.794,Not Successful
Kedrick Brown,2004-05,6.875,Not Successful
Kwame Brown,2011-12,20.778,Not Successful
Shannon Brown,2006-07,8.783,Not Successful
Thomas Bryant,2017-18,4.8,Not Successful
Greg Buckner,2007-08,16.774,Not Successful
Reggie Bullock,2014-15,9.389,Not Successful
Pat Burke,2005-06,8.238,Not Successful
Pat Burke,2006-07,7.13,Not Successful
Deonte Burton,2018-19,7.5,Not Successful
Jackie Butler,2004-05,1.667,Not Successful
Jackie Butler,2006-07,9.364,Not Successful
Dwight Buycks,2014-15,20.5,Not Successful
Derrick Byars,2011-12,18.5,Not Successful
Andrew Bynum,2005-06,7.348,Not Successful
Bruno Caboclo,2016-17,4.444,Not Successful
Isaiah Canaan,2018-19,20.967,Not Successful
Vlatko Cancar,2019-20,3.214,Not Successful
Geno Carlisle,2004-05,2.667,Not Successful
DeMarre Carroll,2010-11,4.167,Not Successful
Kelvin Cato,2006-07,5.278,Not Successful
Troy Caupain,2018-19,4,Not Successful
Josh Childress,2012-13,7.143,Not Successful
Doug Christie,2005-06,26.429,Successful
Semaj Christon,2016-17,15.203,Not Successful
Gian Clavell,2017-18,9.143,Not Successful
Victor Claver,2014-15,7.6,Not Successful
Amir Coffey,2019-20,8.833,Not Successful
Jarron Collins,2009-10,7.676,Not Successful
Jason Collins,2007-08,15.838,Not Successful
Jason Collins,2013-14,7.818,Not Successful
Nick Collison,2017-18,5,Not Successful
Daequan Cook,2009-10,15.356,Not Successful
Omar Cook,2004-05,14.8,Not Successful
Matt Costello,2017-18,8,Not Successful
Robert Covington,2013-14,4.857,Not Successful
Allen Crabbe,2013-14,6.667,Not Successful
Jamal Crawford,2019-20,6,Not Successful
Javaris Crittenton,2007-08,13.58,Not Successful
Austin Croshere,2008-09,7.143,Not Successful
Jared Cunningham,2013-14,6.154,Not Successful
Jared Cunningham,2015-16,9.318,Not Successful
Erick Dampier,2011-12,5.533,Not Successful
Marquis Daniels,2011-12,12.737,Not Successful
Jermareo Davidson,2008-09,7.929,Not Successful
Brandon Davies,2013-14,11.275,Not Successful
Ricky Davis,2009-10,13.861,Not Successful
Eric Dawson,2011-12,9.75,Not Successful
Austin Daye,2013-14,6.727,Not Successful
Andrew DeClercq,2004-05,6.125,Not Successful
Dewayne Dedmon,2019-20,17.591,Not Successful
Malcolm Delaney,2016-17,17.096,Not Successful
Derrick Dial,2003-04,9.556,Not Successful
Spencer Dinwiddie,2014-15,13.382,Not Successful
Spencer Dinwiddie,2015-16,13.25,Not Successful
Joey Dorsey,2009-10,7.067,Not Successful
Chris Douglas-Roberts,2012-13,10.5,Not Successful
PJ Dozier,2018-19,8.5,Not Successful
Goran Dragic,2008-09,13.236,Not Successful
Kris Dunn,2016-17,17.09,Not Successful
Ronald Dupree,2007-08,4.2,Not Successful
Trevon Duval,2018-19,2,Not Successful
Jerome Dyson,2011-12,20,Not Successful
Ndudi Ebi,2004-05,27,Successful
Jarell Eddie,2015-16,5.654,Not Successful
Jarell Eddie,2016-17,12.4,Not Successful
Carsen Edwards,2019-20,9.486,Not Successful
Corsley Edwards,2004-05,11,Not Successful
Henry Ellenson,2017-18,8.658,Not Successful
Melvin Ely,2004-05,20.873,Not Successful
Andre Emmett,2011-12,7.5,Not Successful
Kay Felder,2016-17,9.19,Not Successful
Kyrylo Fesenko,2011-12,5.667,Not Successful
Dorian Finney-Smith,2017-18,21.333,Not Successful
Gerald Fitch,2005-06,13.278,Not Successful
