Player,Season,MPPG,Outcome
David West,2005-06,34.135,Successful
Thaddeus Young,2012-13,34.592,Successful
Carmelo Anthony,2006-07,38.246,Successful
Jamal Crawford,2009-10,31.139,Successful
Jae Crowder,2015-16,31.616,Successful
DeMar DeRozan,2019-20,34.059,Successful
Kevin Garnett,2009-10,29.855,Successful
Marcin Gortat,2015-16,30.08,Successful
Danny Granger,2007-08,35.95,Successful
Jerami Grant,2018-19,32.65,Successful
Dwight Howard,2004-05,32.561,Successful
Andre Iguodala,2011-12,35.629,Successful
Amir Johnson,2012-13,28.704,Successful
Terrence Jones,2013-14,27.342,Successful
Steve Nash,2008-09,33.568,Successful
Joakim Noah,2012-13,36.758,Successful
Chris Paul,2009-10,38.044,Successful
Jason Richardson,2005-06,38.36,Successful
Peja Stojakovic,2004-05,38.394,Successful
Wally Szczerbiak,2004-05,31.58,Successful
Jason Terry,2008-09,33.662,Successful
Tristan Thompson,2016-17,29.949,Successful
Hedo Turkoglu,2008-09,36.558,Successful
Deron Williams,2010-11,37.923,Successful
LaMarcus Aldridge,2012-13,37.703,Successful
LaMarcus Aldridge,2016-17,32.431,Successful
Caron Butler,2007-08,39.897,Successful
Brian Cardinal,2003-04,21.5,Not Successful
Anthony Davis,2015-16,35.475,Successful
Danilo Gallinari,2012-13,32.521,Successful
Taj Gibson,2017-18,33.244,Successful
Kirk Hinrich,2004-05,36.364,Successful
LeBron James,2018-19,35.218,Successful
Eddie Jones,2005-06,32.493,Successful
Jason Kidd,2003-04,36.567,Successful
Jason Kidd,2004-05,36.894,Successful
Wesley Matthews,2010-11,33.634,Successful
Paul Millsap,2009-10,27.768,Successful
Rasho Nesterovic,2003-04,28.695,Successful
Dirk Nowitzki,2014-15,29.636,Successful
